BHK,RentPrice,Bathroom,Bedroom
2,13500,1,2
1,15000,1,1
2,22000,1,2
2,16000,1,2
2,45000,1,3
2,20000,1,2
2,30000,1,2
2,22000,1,2
3,30000,1,3
2,19000,1,3
1,42000,2,1
2,25000,1,2
1,18000,1,1
2,18000,1,2
3,30000,1,3
2,14000,1,3
2,20000,1,3
2,22000,1,2
1,20000,1,1
1,17000,1,2
2,25000,1,2
1,20000,1,2
1,24000,1,1
1,18000,1,2
2,16000,1,2
2,19000,1,2
3,19000,1,3
2,29999,1,2
2,11000,1,2
2,19000,1,2
2,20000,1,3
2,13500,1,1
3,36000,2,3
1,14000,1,2
2,30000,1,2
2,60000,2,2
2,12000,1,2
1,12500,1,2
2,25000,1,2
1,13000,1,2
2,10500,1,2
2,13500,1,2
2,17500,1,2
2,20000,1,2
2,32000,1,2
2,17000,1,2
2,22500,1,2
3,17000,1,3
2,18000,1,2
2,19000,1,2
2,18000,2,2
3,60000,3,3
2,18000,1,2
2,15000,1,3
2,18000,1,2
2,25000,1,2
2,18000,1,2
2,24000,1,2
3,18500,1,4
1,10000,1,1
1,16500,1,1
1,15000,1,1
2,18000,1,2
1,12000,1,2
2,20000,1,2
2,15000,1,2
2,13000,1,2
2,15000,1,2
2,22000,1,2
3,35000,2,3
2,14000,1,3
2,25000,1,2
3,20000,1,3
2,20000,1,2
2,16500,1,2
2,19500,1,2
2,20000,1,2
2,18000,2,2
2,16000,1,2
2,16000,1,3
3,27000,1,3
3,35000,1,3
2,19000,2,2
2,22000,1,2
1,20000,1,2
2,22000,1,2
2,20000,1,2
2,11000,1,1
3,25000,1,3
2,21000,1,2
2,19500,1,2
1,16000,1,2
2,25000,1,2
1,15000,1,2
2,18000,1,2
2,22000,1,2
3,20000,1,3
2,22000,1,2
1,13000,1,1
2,22000,1,2
3,30000,1,3
2,28000,1,2
2,25000,1,2
2,18000,1,2
2,12500,1,2
2,20000,1,2
1,17000,1,1
2,19000,1,2
2,20000,1,2
2,30000,1,2
1,9000,1,1
2,15000,1,2
2,13000,1,2
2,22000,1,2
2,22000,1,2
2,20000,1,2
2,20000,2,2
2,30000,2,2
1,11000,1,1
1,10500,1,1
1,12500,1,1
2,30000,1,3
2,19500,1,3
2,20000,1,2
2,14000,1,3
2,14000,1,2
2,14000,1,2
1,,1,1
3,13000,1,3
2,30000,1,2
2,30000,1,2
1,17000,1,1
2,30000,1,2
2,18000,1,2
2,25000,1,4
2,16000,1,2
2,22000,2,2
3,55000,2,3
2,41000,1,2
2,22000,1,2
2,23000,1,2
2,16000,1,2
2,15000,1,2
1,22000,1,1
2,16000,1,2
2,18000,1,2
2,15000,1,2
2,17000,1,2
1,16000,1,1
3,25000,2,3
2,16000,1,2
2,16000,1,2
3,27000,1,4
